subject,predicate,object
XIX,hasDescription,Arms and ammunition; parts and accessories thereof
XX,hasDescription,Miscellaneous manufactured articles
XXI,hasDescription,"Works of art, collectors' pieces and antiques"
I,hasChapter,01
I,hasChapter,02
I,hasChapter,03
I,hasChapter,04
I,hasChapter,05
II,hasChapter,06
II,hasChapter,07
II,hasChapter,08
II,hasChapter,09
II,hasChapter,10
II,hasChapter,11
II,hasChapter,12
II,hasChapter,13
II,hasChapter,14
III,hasChapter,15
IV,hasChapter,16
IV,hasChapter,17
IV,hasChapter,18
IV,hasChapter,19
IV,hasChapter,20
IV,hasChapter,21
IV,hasChapter,22
IV,hasChapter,23
IV,hasChapter,24
V,hasChapter,25
V,hasChapter,26
V,hasChapter,27
VI,hasChapter,28
VI,hasChapter,29
VI,hasChapter,30
VI,hasChapter,31
VI,hasChapter,32
VI,hasChapter,33
VI,hasChapter,34
VI,hasChapter,35
VI,hasChapter,36
VI,hasChapter,37
VI,hasChapter,38
VII,hasChapter,39
VII,hasChapter,40
VIII,hasChapter,41
VIII,hasChapter,42
VIII,hasChapter,43
IX,hasChapter,44
IX,hasChapter,45
IX,hasChapter,46
X,hasChapter,47
X,hasChapter,48
X,hasChapter,49
XI,hasChapter,50
XI,hasChapter,51
XI,hasChapter,52
XI,hasChapter,53
XI,hasChapter,54
XI,hasChapter,55
XI,hasChapter,56
XI,hasChapter,57
XI,hasChapter,58
XI,hasChapter,59
XI,hasChapter,60
XI,hasChapter,61
XI,hasChapter,62
XI,hasChapter,63
XII,hasChapter,64
XII,hasChapter,65
XII,hasChapter,66
XII,hasChapter,67
XIII,hasChapter,68
XIII,hasChapter,69
XIII,hasChapter,70
XIV,hasChapter,71
XV,hasChapter,72
XV,hasChapter,73
XV,hasChapter,74
XV,hasChapter,75
XV,hasChapter,76
XV,hasChapter,78
XV,hasChapter,79
XV,hasChapter,80
XV,hasChapter,81
XV,hasChapter,82
XV,hasChapter,83
XVI,hasChapter,84
XVI,hasChapter,85
XVII,hasChapter,86
XVII,hasChapter,87
XVII,hasChapter,88
XVII,hasChapter,89
XVIII,hasChapter,90
XVIII,hasChapter,91
XVIII,hasChapter,92
XIX,hasChapter,93
XX,hasChapter,94
XX,hasChapter,95
XX,hasChapter,96
XXI,hasChapter,97
TOTAL,hasChapter,99
01,hasDescription,Animals; live
02,hasDescription,Meat and edible meat offal
03,hasDescription,"Fish and crustaceans, molluscs and other aquatic invertebrates"
04,hasDescription,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
05,hasDescription,Animal originated products; not elsewhere specified or included
06,hasDescription,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage"
07,hasDescription,Vegetables and certain roots and tubers; edible
08,hasDescription,"Fruit and nuts, edible; peel of citrus fruit or melons"
09,hasDescription,"Coffee, tea, mate and spices"
10,hasDescription,Cereals
11,hasDescription,"Products of the milling industry; malt, starches, inulin, wheat gluten"
12,hasDescription,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder"
13,hasDescription,"Lac; gums, resins and other vegetable saps and extracts"
14,hasDescription,Vegetable plaiting materials; vegetable products not elsewhere specified or included
15,hasDescription,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
16,hasDescription,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof"
17,hasDescription,Sugars and sugar confectionery
18,hasDescription,Cocoa and cocoa preparations
19,hasDescription,"Preparations of cereals, flour, starch or milk; pastrycooks' products"
20,hasDescription,"Preparations of vegetables, fruit, nuts or other parts of plants"
21,hasDescription,Miscellaneous edible preparations
22,hasDescription,"Beverages, spirits and vinegar"
23,hasDescription,"Food industries, residues and wastes thereof; prepared animal fodder"
24,hasDescription,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body"
25,hasDescription,"Salt; sulphur; earths, stone; plastering materials, lime and cement"
26,hasDescription,"Ores, slag and ash"
27,hasDescription,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
28,hasDescription,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
29,hasDescription,Organic chemicals
30,hasDescription,Pharmaceutical products
31,hasDescription,Fertilizers
32,hasDescription,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
33,hasDescription,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
34,hasDescription,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster"
35,hasDescription,Albuminoidal substances; modified starches; glues; enzymes
36,hasDescription,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations
37,hasDescription,Photographic or cinematographic goods
38,hasDescription,Chemical products n.e.c.
39,hasDescription,Plastics and articles thereof
40,hasDescription,Rubber and articles thereof
41,hasDescription,Raw hides and skins (other than furskins) and leather
42,hasDescription,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
43,hasDescription,Furskins and artificial fur; manufactures thereof
44,hasDescription,Wood and articles of wood; wood charcoal
45,hasDescription,Cork and articles of cork
46,hasDescription,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork"
47,hasDescription,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
48,hasDescription,"Paper and paperboard; articles of paper pulp, of paper or paperboard"
49,hasDescription,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
50,hasDescription,Silk
51,hasDescription,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
52,hasDescription,Cotton
53,hasDescription,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn
54,hasDescription,Man-made filaments; strip and the like of man-made textile materials
55,hasDescription,Man-made staple fibres
56,hasDescription,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof"
57,hasDescription,Carpets and other textile floor coverings
58,hasDescription,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery"
59,hasDescription,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use"
60,hasDescription,Fabrics; knitted or crocheted
61,hasDescription,Apparel and clothing accessories; knitted or crocheted
62,hasDescription,Apparel and clothing accessories; not knitted or crocheted
63,hasDescription,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags"
64,hasDescription,Footwear; gaiters and the like; parts of such articles
65,hasDescription,Headgear and parts thereof
66,hasDescription,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof"
67,hasDescription,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair"
68,hasDescription,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof"
69,hasDescription,Ceramic products
70,hasDescription,Glass and glassware
71,hasDescription,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
72,hasDescription,Iron and steel
73,hasDescription,Iron or steel articles
74,hasDescription,Copper and articles thereof
75,hasDescription,Nickel and articles thereof
76,hasDescription,Aluminium and articles thereof
78,hasDescription,Lead and articles thereof
79,hasDescription,Zinc and articles thereof
80,hasDescription,Tin; articles thereof
81,hasDescription,"Metals; n.e.c., cermets and articles thereof"
82,hasDescription,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal"
83,hasDescription,Metal; miscellaneous products of base metal
84,hasDescription,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"
85,hasDescription,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
86,hasDescription,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
87,hasDescription,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
88,hasDescription,"Aircraft, spacecraft, and parts thereof"
89,hasDescription,"Ships, boats and floating structures"
90,hasDescription,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories"
91,hasDescription,Clocks and watches and parts thereof
92,hasDescription,Musical instruments; parts and accessories of such articles
93,hasDescription,Arms and ammunition; parts and accessories thereof
94,hasDescription,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
95,hasDescription,"Toys, games and sports requisites; parts and accessories thereof"
96,hasDescription,Miscellaneous manufactured articles
97,hasDescription,Works of art; collectors' pieces and antiques
99,hasDescription,Commodities not specified according to kind
01,hasSubchapter,0101
01,hasSubchapter,0102
01,hasSubchapter,0103
01,hasSubchapter,0104
01,hasSubchapter,0105
01,hasSubchapter,0106
02,hasSubchapter,0201
02,hasSubchapter,0202
02,hasSubchapter,0203
02,hasSubchapter,0204
02,hasSubchapter,0205
02,hasSubchapter,0206
02,hasSubchapter,0207
02,hasSubchapter,0208
02,hasSubchapter,0209
02,hasSubchapter,0210
03,hasSubchapter,0301
03,hasSubchapter,0302
03,hasSubchapter,0303
03,hasSubchapter,0304
03,hasSubchapter,0305
03,hasSubchapter,0306
03,hasSubchapter,0307
03,hasSubchapter,0308
03,hasSubchapter,0309
04,hasSubchapter,0401
04,hasSubchapter,0402
04,hasSubchapter,0403
04,hasSubchapter,0404
04,hasSubchapter,0405
04,hasSubchapter,0406
04,hasSubchapter,0407
04,hasSubchapter,0408
04,hasSubchapter,0409
04,hasSubchapter,0410
05,hasSubchapter,0501
05,hasSubchapter,0502
05,hasSubchapter,0504
05,hasSubchapter,0505
05,hasSubchapter,0506
05,hasSubchapter,0507
05,hasSubchapter,0508
05,hasSubchapter,0510
05,hasSubchapter,0511
06,hasSubchapter,0601
06,hasSubchapter,0602
06,hasSubchapter,0603
06,hasSubchapter,0604
07,hasSubchapter,0701
07,hasSubchapter,0702
07,hasSubchapter,0703
07,hasSubchapter,0704
07,hasSubchapter,0705
07,hasSubchapter,0706
07,hasSubchapter,0707
07,hasSubchapter,0708
07,hasSubchapter,0709
07,hasSubchapter,0710
07,hasSubchapter,0711
07,hasSubchapter,0712
07,hasSubchapter,0713
07,hasSubchapter,0714
08,hasSubchapter,0801
08,hasSubchapter,0802
08,hasSubchapter,0803
08,hasSubchapter,0804
08,hasSubchapter,0805
08,hasSubchapter,0806
08,hasSubchapter,0807
08,hasSubchapter,0808
08,hasSubchapter,0809
08,hasSubchapter,0810
08,hasSubchapter,0811
08,hasSubchapter,0812
08,hasSubchapter,0813
08,hasSubchapter,0814
09,hasSubchapter,0901
09,hasSubchapter,0902
09,hasSubchapter,0903
09,hasSubchapter,0904
09,hasSubchapter,0905
09,hasSubchapter,0906
09,hasSubchapter,0907
09,hasSubchapter,0908
09,hasSubchapter,0909
09,hasSubchapter,0910
10,hasSubchapter,1001
10,hasSubchapter,1002
10,hasSubchapter,1003
10,hasSubchapter,1004
10,hasSubchapter,1005
10,hasSubchapter,1006
10,hasSubchapter,1007
10,hasSubchapter,1008
11,hasSubchapter,1101
11,hasSubchapter,1102
11,hasSubchapter,1103
11,hasSubchapter,1104
11,hasSubchapter,1105
11,hasSubchapter,1106
11,hasSubchapter,1107
11,hasSubchapter,1108
11,hasSubchapter,1109
12,hasSubchapter,1201
12,hasSubchapter,1202
12,hasSubchapter,1203
12,hasSubchapter,1204
12,hasSubchapter,1205
12,hasSubchapter,1206
12,hasSubchapter,1207
12,hasSubchapter,1208
12,hasSubchapter,1209
12,hasSubchapter,1210
12,hasSubchapter,1211
12,hasSubchapter,1212
12,hasSubchapter,1213
12,hasSubchapter,1214
13,hasSubchapter,1301
13,hasSubchapter,1302
14,hasSubchapter,1401
14,hasSubchapter,1404
15,hasSubchapter,1501
15,hasSubchapter,1502
15,hasSubchapter,1503
15,hasSubchapter,1504
15,hasSubchapter,1505
15,hasSubchapter,1506
15,hasSubchapter,1507
15,hasSubchapter,1508
15,hasSubchapter,1509
15,hasSubchapter,1510
15,hasSubchapter,1511
15,hasSubchapter,1512
15,hasSubchapter,1513
15,hasSubchapter,1514
15,hasSubchapter,1515
15,hasSubchapter,1516
15,hasSubchapter,1517
15,hasSubchapter,1518
15,hasSubchapter,1520
15,hasSubchapter,1521
15,hasSubchapter,1522
16,hasSubchapter,1601
16,hasSubchapter,1602
16,hasSubchapter,1603
16,hasSubchapter,1604
16,hasSubchapter,1605
17,hasSubchapter,1701
17,hasSubchapter,1702
17,hasSubchapter,1703
17,hasSubchapter,1704
18,hasSubchapter,1801
18,hasSubchapter,1802
18,hasSubchapter,1803
18,hasSubchapter,1804
18,hasSubchapter,1805
18,hasSubchapter,1806
19,hasSubchapter,1901
19,hasSubchapter,1902
19,hasSubchapter,1903
19,hasSubchapter,1904
19,hasSubchapter,1905
20,hasSubchapter,2001
20,hasSubchapter,2002
20,hasSubchapter,2003
20,hasSubchapter,2004
20,hasSubchapter,2005
20,hasSubchapter,2006
20,hasSubchapter,2007
20,hasSubchapter,2008
20,hasSubchapter,2009
21,hasSubchapter,2101
21,hasSubchapter,2102
21,hasSubchapter,2103
21,hasSubchapter,2104
21,hasSubchapter,2105
21,hasSubchapter,2106
22,hasSubchapter,2201
22,hasSubchapter,2202
22,hasSubchapter,2203
22,hasSubchapter,2204
22,hasSubchapter,2205
22,hasSubchapter,2206
22,hasSubchapter,2207
22,hasSubchapter,2208
22,hasSubchapter,2209
23,hasSubchapter,2301
23,hasSubchapter,2302
23,hasSubchapter,2303
23,hasSubchapter,2304
23,hasSubchapter,2305
23,hasSubchapter,2306
23,hasSubchapter,2307
23,hasSubchapter,2308
23,hasSubchapter,2309
24,hasSubchapter,2401
24,hasSubchapter,2402
24,hasSubchapter,2403
24,hasSubchapter,2404
25,hasSubchapter,2501
25,hasSubchapter,2502
25,hasSubchapter,2503
25,hasSubchapter,2504
25,hasSubchapter,2505
25,hasSubchapter,2506
25,hasSubchapter,2507
25,hasSubchapter,2508
25,hasSubchapter,2509
25,hasSubchapter,2510
25,hasSubchapter,2511
25,hasSubchapter,2512
25,hasSubchapter,2513
25,hasSubchapter,2514
25,hasSubchapter,2515
25,hasSubchapter,2516
25,hasSubchapter,2517
25,hasSubchapter,2518
25,hasSubchapter,2519
25,hasSubchapter,2520
25,hasSubchapter,2521
25,hasSubchapter,2522
25,hasSubchapter,2523
25,hasSubchapter,2524
25,hasSubchapter,2525
25,hasSubchapter,2526
25,hasSubchapter,2528
25,hasSubchapter,2529
25,hasSubchapter,2530
26,hasSubchapter,2601
26,hasSubchapter,2602
26,hasSubchapter,2603
26,hasSubchapter,2604
26,hasSubchapter,2605
26,hasSubchapter,2606
26,hasSubchapter,2607
26,hasSubchapter,2608
26,hasSubchapter,2609
26,hasSubchapter,2610
26,hasSubchapter,2611
26,hasSubchapter,2612
26,hasSubchapter,2613
26,hasSubchapter,2614
26,hasSubchapter,2615
26,hasSubchapter,2616
26,hasSubchapter,2617
26,hasSubchapter,2618
26,hasSubchapter,2619
26,hasSubchapter,2620
26,hasSubchapter,2621
27,hasSubchapter,2701
27,hasSubchapter,2702
27,hasSubchapter,2703
27,hasSubchapter,2704
27,hasSubchapter,2705
27,hasSubchapter,2706
27,hasSubchapter,2707
27,hasSubchapter,2708
27,hasSubchapter,2709
27,hasSubchapter,2710
27,hasSubchapter,2711
27,hasSubchapter,2712
27,hasSubchapter,2713
27,hasSubchapter,2714
27,hasSubchapter,2715
27,hasSubchapter,2716
28,hasSubchapter,2801
28,hasSubchapter,2802
28,hasSubchapter,2803
28,hasSubchapter,2804
28,hasSubchapter,2805
28,hasSubchapter,2806
28,hasSubchapter,2807
28,hasSubchapter,2808
28,hasSubchapter,2809
28,hasSubchapter,2810
28,hasSubchapter,2811
28,hasSubchapter,2812
28,hasSubchapter,2813
28,hasSubchapter,2814
28,hasSubchapter,2815
28,hasSubchapter,2816
28,hasSubchapter,2817
28,hasSubchapter,2818
28,hasSubchapter,2819
28,hasSubchapter,2820
28,hasSubchapter,2821
28,hasSubchapter,2822
28,hasSubchapter,2823
28,hasSubchapter,2824
28,hasSubchapter,2825
28,hasSubchapter,2826
28,hasSubchapter,2827
28,hasSubchapter,2828
28,hasSubchapter,2829
28,hasSubchapter,2830
28,hasSubchapter,2831
28,hasSubchapter,2832
28,hasSubchapter,2833
28,hasSubchapter,2834
28,hasSubchapter,2835
28,hasSubchapter,2836
28,hasSubchapter,2837
28,hasSubchapter,2839
28,hasSubchapter,2840
28,hasSubchapter,2841
28,hasSubchapter,2842
28,hasSubchapter,2843
28,hasSubchapter,2844
28,hasSubchapter,2845
28,hasSubchapter,2846
28,hasSubchapter,2847
28,hasSubchapter,2849
28,hasSubchapter,2850
28,hasSubchapter,2852
28,hasSubchapter,2853
29,hasSubchapter,2901
29,hasSubchapter,2902
29,hasSubchapter,2903
29,hasSubchapter,2904
29,hasSubchapter,2905
29,hasSubchapter,2906
29,hasSubchapter,2907
29,hasSubchapter,2908
29,hasSubchapter,2909
29,hasSubchapter,2910
29,hasSubchapter,2911
29,hasSubchapter,2912
29,hasSubchapter,2913
29,hasSubchapter,2914
29,hasSubchapter,2915
29,hasSubchapter,2916
29,hasSubchapter,2917
29,hasSubchapter,2918
29,hasSubchapter,2919
29,hasSubchapter,2920
29,hasSubchapter,2921
29,hasSubchapter,2922
29,hasSubchapter,2923
29,hasSubchapter,2924
29,hasSubchapter,2925
29,hasSubchapter,2926
29,hasSubchapter,2927
29,hasSubchapter,2928
29,hasSubchapter,2929
29,hasSubchapter,2930
29,hasSubchapter,2931
29,hasSubchapter,2932
29,hasSubchapter,2933
29,hasSubchapter,2934
29,hasSubchapter,2935
29,hasSubchapter,2936
29,hasSubchapter,2937
29,hasSubchapter,2938
29,hasSubchapter,2939
29,hasSubchapter,2940
29,hasSubchapter,2941
29,hasSubchapter,2942
30,hasSubchapter,3001
30,hasSubchapter,3002
30,hasSubchapter,3003
30,hasSubchapter,3004
30,hasSubchapter,3005
30,hasSubchapter,3006
31,hasSubchapter,3101
31,hasSubchapter,3102
31,hasSubchapter,3103
31,hasSubchapter,3104
31,hasSubchapter,3105
32,hasSubchapter,3201
32,hasSubchapter,3202
32,hasSubchapter,3203
32,hasSubchapter,3204
32,hasSubchapter,3205
32,hasSubchapter,3206
32,hasSubchapter,3207
32,hasSubchapter,3208
32,hasSubchapter,3209
32,hasSubchapter,3210
32,hasSubchapter,3211
32,hasSubchapter,3212
32,hasSubchapter,3213
32,hasSubchapter,3214
32,hasSubchapter,3215
33,hasSubchapter,3301
33,hasSubchapter,3302
33,hasSubchapter,3303
33,hasSubchapter,3304
33,hasSubchapter,3305
33,hasSubchapter,3306
33,hasSubchapter,3307
34,hasSubchapter,3401
34,hasSubchapter,3402
34,hasSubchapter,3403
34,hasSubchapter,3404
34,hasSubchapter,3405
34,hasSubchapter,3406
34,hasSubchapter,3407
35,hasSubchapter,3501
35,hasSubchapter,3502
35,hasSubchapter,3503
35,hasSubchapter,3504
35,hasSubchapter,3505
35,hasSubchapter,3506
35,hasSubchapter,3507
36,hasSubchapter,3601
36,hasSubchapter,3602
36,hasSubchapter,3603
36,hasSubchapter,3604
36,hasSubchapter,3605
36,hasSubchapter,3606
37,hasSubchapter,3701
37,hasSubchapter,3702
37,hasSubchapter,3703
37,hasSubchapter,3704
37,hasSubchapter,3705
37,hasSubchapter,3706
37,hasSubchapter,3707
38,hasSubchapter,3801
38,hasSubchapter,3802
38,hasSubchapter,3803
38,hasSubchapter,3804
38,hasSubchapter,3805
38,hasSubchapter,3806
38,hasSubchapter,3807
38,hasSubchapter,3808
38,hasSubchapter,3809
38,hasSubchapter,3810
38,hasSubchapter,3811
38,hasSubchapter,3812
38,hasSubchapter,3813
38,hasSubchapter,3814
38,hasSubchapter,3815
38,hasSubchapter,3816
38,hasSubchapter,3817
38,hasSubchapter,3818
38,hasSubchapter,3819
38,hasSubchapter,3820
38,hasSubchapter,3821
38,hasSubchapter,3822
38,hasSubchapter,3823
38,hasSubchapter,3824
38,hasSubchapter,3825
38,hasSubchapter,3826
38,hasSubchapter,3827
39,hasSubchapter,3901
39,hasSubchapter,3902
39,hasSubchapter,3903
39,hasSubchapter,3904
39,hasSubchapter,3905
39,hasSubchapter,3906
39,hasSubchapter,3907
39,hasSubchapter,3908
39,hasSubchapter,3909
39,hasSubchapter,3910
39,hasSubchapter,3911
39,hasSubchapter,3912
39,hasSubchapter,3913
39,hasSubchapter,3914
39,hasSubchapter,3915
39,hasSubchapter,3916
39,hasSubchapter,3917
39,hasSubchapter,3918
39,hasSubchapter,3919
39,hasSubchapter,3920
39,hasSubchapter,3921
39,hasSubchapter,3922
39,hasSubchapter,3923
39,hasSubchapter,3924
39,hasSubchapter,3925
39,hasSubchapter,3926
40,hasSubchapter,4001
40,hasSubchapter,4002
40,hasSubchapter,4003
40,hasSubchapter,4004
40,hasSubchapter,4005
40,hasSubchapter,4006
40,hasSubchapter,4007
40,hasSubchapter,4008
40,hasSubchapter,4009
40,hasSubchapter,4010
40,hasSubchapter,4011
40,hasSubchapter,4012
40,hasSubchapter,4013
40,hasSubchapter,4014
40,hasSubchapter,4015
40,hasSubchapter,4016
40,hasSubchapter,4017
41,hasSubchapter,4101
41,hasSubchapter,4102
41,hasSubchapter,4103
41,hasSubchapter,4104
41,hasSubchapter,4105
41,hasSubchapter,4106
41,hasSubchapter,4107
41,hasSubchapter,4112
41,hasSubchapter,4113
41,hasSubchapter,4114
41,hasSubchapter,4115
42,hasSubchapter,4201
42,hasSubchapter,4202
42,hasSubchapter,4203
42,hasSubchapter,4205
42,hasSubchapter,4206
43,hasSubchapter,4301
43,hasSubchapter,4302
43,hasSubchapter,4303
43,hasSubchapter,4304
44,hasSubchapter,4401
44,hasSubchapter,4402
44,hasSubchapter,4403
44,hasSubchapter,4404
44,hasSubchapter,4405
44,hasSubchapter,4406
44,hasSubchapter,4407
44,hasSubchapter,4408
44,hasSubchapter,4409
44,hasSubchapter,4410
44,hasSubchapter,4411
44,hasSubchapter,4412
44,hasSubchapter,4413
44,hasSubchapter,4414
44,hasSubchapter,4415
44,hasSubchapter,4416
44,hasSubchapter,4417
44,hasSubchapter,4418
44,hasSubchapter,4419
44,hasSubchapter,4420
44,hasSubchapter,4421
45,hasSubchapter,4501
45,hasSubchapter,4502
45,hasSubchapter,4503
45,hasSubchapter,4504
46,hasSubchapter,4601
46,hasSubchapter,4602
47,hasSubchapter,4701
47,hasSubchapter,4702
47,hasSubchapter,4703
47,hasSubchapter,4704
47,hasSubchapter,4705
47,hasSubchapter,4706
47,hasSubchapter,4707
48,hasSubchapter,4801
48,hasSubchapter,4802
48,hasSubchapter,4803
48,hasSubchapter,4804
48,hasSubchapter,4805
48,hasSubchapter,4806
48,hasSubchapter,4807
48,hasSubchapter,4808
48,hasSubchapter,4809
48,hasSubchapter,4810
48,hasSubchapter,4811
48,hasSubchapter,4812
48,hasSubchapter,4813
48,hasSubchapter,4814
48,hasSubchapter,4816
48,hasSubchapter,4817
48,hasSubchapter,4818
48,hasSubchapter,4819
48,hasSubchapter,4820
48,hasSubchapter,4821
48,hasSubchapter,4822
48,hasSubchapter,4823
49,hasSubchapter,4901
49,hasSubchapter,4902
49,hasSubchapter,4903
49,hasSubchapter,4904
49,hasSubchapter,4905
49,hasSubchapter,4906
49,hasSubchapter,4907
49,hasSubchapter,4908
49,hasSubchapter,4909
49,hasSubchapter,4910
49,hasSubchapter,4911
50,hasSubchapter,5001
50,hasSubchapter,5002
50,hasSubchapter,5003
50,hasSubchapter,5004
50,hasSubchapter,5005
50,hasSubchapter,5006
50,hasSubchapter,5007
51,hasSubchapter,5101
51,hasSubchapter,5102
51,hasSubchapter,5103
51,hasSubchapter,5104
51,hasSubchapter,5105
51,hasSubchapter,5106
51,hasSubchapter,5107
51,hasSubchapter,5108
51,hasSubchapter,5109
51,hasSubchapter,5110
51,hasSubchapter,5111
51,hasSubchapter,5112
51,hasSubchapter,5113
52,hasSubchapter,5201
52,hasSubchapter,5202
52,hasSubchapter,5203
52,hasSubchapter,5204
52,hasSubchapter,5205
52,hasSubchapter,5206
52,hasSubchapter,5207
52,hasSubchapter,5208
52,hasSubchapter,5209
52,hasSubchapter,5210
52,hasSubchapter,5211
52,hasSubchapter,5212
53,hasSubchapter,5301
53,hasSubchapter,5302
53,hasSubchapter,5303
53,hasSubchapter,5305
53,hasSubchapter,5306
53,hasSubchapter,5307
53,hasSubchapter,5308
53,hasSubchapter,5309
53,hasSubchapter,5310
53,hasSubchapter,5311
54,hasSubchapter,5401
54,hasSubchapter,5402
54,hasSubchapter,5403
54,hasSubchapter,5404
54,hasSubchapter,5405
54,hasSubchapter,5406
54,hasSubchapter,5407
54,hasSubchapter,5408
55,hasSubchapter,5501
55,hasSubchapter,5502
55,hasSubchapter,5503
55,hasSubchapter,5504
55,hasSubchapter,5505
55,hasSubchapter,5506
55,hasSubchapter,5507
55,hasSubchapter,5508
55,hasSubchapter,5509
55,hasSubchapter,5510
55,hasSubchapter,5511
55,hasSubchapter,5512
55,hasSubchapter,5513
55,hasSubchapter,5514
55,hasSubchapter,5515
55,hasSubchapter,5516
56,hasSubchapter,5601
56,hasSubchapter,5602
56,hasSubchapter,5603
56,hasSubchapter,5604
56,hasSubchapter,5605
56,hasSubchapter,5606
56,hasSubchapter,5607
56,hasSubchapter,5608
